Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
Hunter Sallis,PHI,22,7,3,4,25.7,7,3,5,60.0,0,0,0.0,1,2,50.0,0,1,1,4,5,0,1,2,12,0,0,-13
Joe Ingles,MIN,38,13,7,6,53.9,7,2,5,40.0,1,4,25.0,2,2,100.0,0,5,5,11,5,6,0,6,43,0,0,-5
Orlando Robinson,ORL,25,4,2,2,24.8,7,3,5,60.0,1,2,50.0,0,0,0.0,2,2,4,3,0,1,0,3,19,0,0,-11
Trey Jemison III,NYK,26,6,5,1,37.9,7,3,3,100.0,0,0,0.0,1,1,100.0,5,5,10,1,3,0,2,6,24,0,0,-8
Jahmai Mashack,MEM,23,7,5,2,24.8,6,2,8,25.0,2,6,33.3,0,0,0.0,0,5,5,2,3,1,0,1,15,0,0,-20
Kyle Lowry,PHI,39,6,4,2,44.6,6,2,8,25.0,2,8,25.0,0,0,0.0,0,3,3,7,2,1,0,3,21,0,0,7
Wendell Moore Jr.,DET,24,3,3,0,43.1,6,3,6,50.0,0,1,0.0,0,0,0.0,1,3,4,3,1,2,1,1,23,0,0,32
Dario Šarić,SAC,31,5,1,4,41.2,5,1,6,16.7,1,3,33.3,2,2,100.0,1,5,6,2,2,0,0,3,13,0,0,0
Drew Peterson,CHA,26,6,1,5,64.3,5,2,16,12.5,0,12,0.0,1,2,50.0,3,6,9,2,0,3,1,3,31,0,0,-10
Harrison Ingram,SAS,23,3,2,1,10.8,5,2,3,66.7,1,1,100.0,0,0,0.0,3,0,3,0,0,0,0,2,9,0,0,13
Isaac Jones,DET,25,4,2,2,18.2,5,2,4,50.0,0,2,0.0,1,2,50.0,2,0,2,1,0,0,0,4,9,0,0,-16
Curtis Jones,DEN,24,5,3,2,21.9,4,2,10,20.0,0,6,0.0,0,0,0.0,1,3,4,1,1,0,0,2,9,0,0,4
Drew Timme,LAL,25,6,3,3,17.1,4,2,4,50.0,0,2,0.0,0,0,0.0,1,3,4,3,1,1,0,0,15,0,0,-1
Garrett Temple,TOR,39,10,4,6,29.3,4,1,6,16.7,1,4,25.0,1,2,50.0,0,4,4,3,3,3,1,2,22,0,0,-17
Koby Brea,PHX,23,2,1,1,7.8,4,1,3,33.3,0,2,0.0,2,2,100.0,0,1,1,2,0,0,0,0,8,0,0,-10
Lachlan Olbrich,CHI,22,8,1,7,66.2,4,2,9,22.2,0,4,0.0,0,2,0.0,6,13,19,7,4,0,0,15,33,0,0,-21
Trentyn Flowers,CHI,20,2,0,2,5.5,4,2,3,66.7,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,1,6,0,0,-2
Amari Williams,BOS,23,6,4,2,30.9,3,1,2,50.0,0,0,0.0,1,2,50.0,2,5,7,1,0,1,2,4,22,0,0,-12
Kobe Bufkin,LAL,22,2,1,1,20.6,3,1,3,33.3,1,2,50.0,0,0,0.0,1,3,4,1,1,1,1,1,14,0,0,-7
N'Faly Dante,ATL,24,4,3,1,15.4,3,1,4,25.0,0,0,0.0,1,1,100.0,3,4,7,0,1,2,0,1,16,0,0,10
